mask_number,number_of_patients
0,495
1,335
2,53
3,37
4,1271
5,755
6,0
7,0
8,4695
9,2506
10,883
11,479
12,13715
13,7310
14,0
15,0
16,171
17,161
18,10
19,16
20,312
21,326
22,0
23,0
24,1848
25,1261
26,288
27,189
28,4188
29,2694
30,0
31,0
32,71
33,61
34,7
35,9
36,102
37,91
38,0
39,0
40,632
41,445
42,101
43,72
44,1345
45,912
46,0
47,0
48,99
49,130
50,8
51,11
52,139
53,152
54,0
55,0
56,1067
57,798
58,120
59,100
60,1829
61,1241
62,0
63,0
64,23
65,16
66,1
67,2
68,14
69,28
70,0
71,0
72,108
73,80
74,13
75,5
76,194
77,144
78,0
79,0
80,39
81,31
82,1
83,4
84,36
85,37
86,0
87,0
88,347
89,245
90,39
91,13
92,470
93,314
94,0
95,0
96,738
97,492
98,57
99,51
100,1749
101,1112
102,0
103,0
104,2198
105,1231
106,296
107,182
108,7262
109,4151
110,0
111,0
112,362
113,358
114,31
115,36
116,644
117,684
118,0
119,0
120,1355
121,937
122,139
123,123
124,3211
125,2019
126,0
127,0
128,152
129,137
130,21
131,16
132,279
133,224
134,0
135,0
136,517
137,358
138,70
139,55
140,1189
141,784
142,0
143,0
144,294
145,318
146,32
147,21
148,447
149,407
150,0
151,0
152,1381
153,891
154,138
155,110
156,2496
157,1484
158,0
159,0
160,75
161,70
162,4
163,9
164,88
165,71
166,0
167,0
168,244
169,167
170,23
171,11
172,364
173,253
174,0
175,0
176,158
177,146
178,14
179,13
180,157
181,154
182,0
183,0
184,1038
185,615
186,99
187,40
188,1356
189,767
190,0
191,0
192,48
193,52
194,9
195,4
196,94
197,81
198,0
199,0
200,23
201,15
202,4
203,3
204,46
205,23
206,0
207,0
208,41
209,35
210,4
211,1
212,46
213,62
214,0
215,0
216,25
217,13
218,3
219,0
220,30
221,26
222,0
223,0
224,15
225,22
226,3
227,2
228,23
229,18
230,0
231,0
232,9
233,6
234,0
235,1
236,9
237,9
238,0
239,0
240,36
241,38
242,5
243,9
244,40
245,43
246,0
247,0
248,15
249,19
250,2
251,1
252,29
253,19
254,0
255,0
256,9
257,11
258,3
259,0
260,7
261,14
262,0
263,0
264,9
265,6
266,4
267,0
268,12
269,3
270,0
271,0
272,16
273,15
274,4
275,1
276,16
277,22
278,0
279,0
280,29
281,10
282,3
283,0
284,25
285,14
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
